arquivo_original,UCI.name,data.id,OpenML.name,status
rpart_multiple-features.csv,multiple-features,12,mfeat-factors,mapeado
rpart_mushroom.csv,mushroom,24,mushroom,mapeado
rpart_nursery-4class.csv,nursery-4class,1568,nursery-v3,mapeado
rpart_optdigits.csv,optdigits,28,optdigits,mapeado
rpart_ozone-eighthr.csv,ozone-eighthr,1487,ozone-level-8hr,mapeado
rpart_ozone-onehr.csv,ozone-onehr,40735,ozone_level_v2,mapeado
rpart_page-blocks.csv,page-blocks,30,page-blocks,mapeado
rpart_parkinsons.csv,parkinsons,1488,parkinsons,mapeado
rpart_phoneme.csv,phoneme,1489,phoneme,mapeado
rpart_plant-species-leaves-margin.csv,plant-species-leaves-margin,1491,one-hundred-plants-margin,mapeado
rpart_plant-species-leaves-shape.csv,plant-species-leaves-shape,1492,one-hundred-plants-shape,mapeado
rpart_plant-species-leaves-texture.csv,plant-species-leaves-texture,1493,one-hundred-plants-texture,mapeado
rpart_robot-nav-sensor-readings-4.csv,robot-nav-sensor-readings-4,1526,wall-robot-navigation-v3,mapeado
rpart_saheart.csv,saheart,1498,sa-heart,mapeado
rpart_seeds.csv,seeds,1499,seeds,mapeado
rpart_semeion.csv,semeion,1501,semeion,mapeado
rpart_statlog-german-credit.csv,statlog-german-credit,31,credit-g,mapeado
rpart_statlog-heart.csv,statlog-heart,53,heart-statlog,mapeado
rpart_statlog-image-segmentation.csv,statlog-image-segmentation,36,segment,mapeado
rpart_statlog-landsat-satellite.csv,statlog-landsat-satellite,40734,satellite_image,mapeado
rpart_statlog-vehicle-silhouettes.csv,statlog-vehicle-silhouettes,54,vehicle,mapeado
rpart_steel-plates-faults.csv,steel-plates-faults,1504,steel-plates-fault,mapeado
rpart_teaching-assistant-evaluation.csv,teaching-assistant-evaluation,48,tae,mapeado
rpart_texture.csv,texture,40499,texture,mapeado
rpart_thoracic-surgery.csv,thoracic-surgery,1506,thoracic-surgery,mapeado
rpart_thyroid-allbp.csv,thyroid-allbp,40474,thyroid-allbp,mapeado
rpart_thyroid-allhyper.csv,thyroid-allhyper,40475,thyroid-allhyper,mapeado
rpart_user-knowledge.csv,user-knowledge,1508,user-knowledge,mapeado
rpart_vertebra-column-3c.csv,vertebra-column-3c,1523,vertebra-column,mapeado
rpart_wine.csv,wine,187,wine,mapeado
rpart_yeast-4class.csv,yeast-4class,40733,yeast_v7,mapeado
