Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,SVM_Linear,0.8,46,0.6691455552994015,0.5523194977328217,0.7614230903383328
Baseline,SVM_Linear,0.85,50,0.6422460260202616,0.5245029647715382,0.7368329264039066
Baseline,SVM_Linear,0.9,57,0.6422460260202616,0.5245029647715382,0.7493896058597838
Baseline,SVM_Linear,0.95,63,0.6608359809951322,0.543337983955354,0.7553191489361701
Baseline,SVM_RBF,0.8,46,0.7153092969982205,0.6079525636553889,0.7879316358562958
Baseline,SVM_RBF,0.85,50,0.7190464028287358,0.6144925008719917,0.7854028601325427
Baseline,SVM_RBF,0.9,57,0.7143237912468682,0.6103941402162539,0.7843564701778862
Baseline,SVM_RBF,0.95,63,0.7190464028287358,0.6144925008719917,0.7833972793861178
Baseline,RandomForest,0.8,46,0.7159337896894458,0.6055109870945239,0.7428496686431809
Baseline,RandomForest,0.85,50,0.7096181969536751,0.6062957795605162,0.7382281130101149
Baseline,RandomForest,0.9,57,0.7200035326326945,0.6120509243111266,0.7598535054063481
Baseline,RandomForest,0.95,63,0.7153092969982205,0.6079525636553889,0.7455528426927103
Baseline,KNN,0.8,46,0.7209658591438103,0.6504185559818626,0.6757935123822811
Baseline,KNN,0.85,50,0.6960230245944532,0.629926752703174,0.6784094872689223
Baseline,KNN,0.9,57,0.7194058688564184,0.6594000697593303,0.7001220788280432
Baseline,KNN,0.95,63,0.7077144467254357,0.6446634112312521,0.684949424485525
Baseline,DecisionTree,0.8,46,0.6875881232043515,0.6282699686083013,0.6282699686083014
Baseline,DecisionTree,0.85,50,0.7159763313609467,0.6463201953261248,0.646320195326125
Baseline,DecisionTree,0.9,57,0.6960230245944532,0.629926752703174,0.629926752703174
Baseline,DecisionTree,0.95,63,0.68603152503605,0.6217300313916986,0.6217300313916987
Baseline,NaiveBayes,0.8,46,0.4375136277765294,0.603331008022323,0.6756191140565051
Baseline,NaiveBayes,0.85,50,0.46880707137117394,0.6197244506452738,0.6780606906173701
Baseline,NaiveBayes,0.9,57,0.504246432300731,0.6230380188350192,0.6883501918381585
Baseline,NaiveBayes,0.95,63,0.5231604682258031,0.641873038018835,0.6953261248692012
Baseline,LogisticRegression,0.8,46,0.7289216703260085,0.6520753400767353,0.7607254970352284
