Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Baseline,SVM_Linear,0.8,46,0.6313434576034045,0.5138646668991977,0.7602023020579003
Baseline,SVM_Linear,0.85,50,0.6276438230006806,0.5097663062434601,0.7323857690966167
Baseline,SVM_Linear,0.9,57,0.6460897192992684,0.5286013254272759,0.7504359958144401
Baseline,SVM_Linear,0.95,63,0.6568482290398429,0.5392396232996163,0.7530519707010812
Baseline,SVM_RBF,0.8,46,0.7200035326326945,0.6120509243111266,0.7807813044994768
Baseline,SVM_RBF,0.85,50,0.7200035326326945,0.6120509243111266,0.7696198116498082
Baseline,SVM_RBF,0.9,57,0.7237880203467248,0.6185908615277294,0.7739797697942099
Baseline,SVM_RBF,0.95,63,0.7237880203467248,0.6185908615277294,0.7699686083013603
Baseline,RandomForest,0.8,46,0.7333366977454233,0.6267875828392048,0.7544471573072897
Baseline,RandomForest,0.85,50,0.7321140119994922,0.6292291594000697,0.7514823857690965
Baseline,RandomForest,0.9,57,0.7354299127800152,0.6357690966166725,0.7370073247296826
Baseline,RandomForest,0.95,63,0.7562446361624282,0.661144053017091,0.7493024066968957
Baseline,KNN,0.8,46,0.7209658591438103,0.6504185559818626,0.6757935123822811
Baseline,KNN,0.85,50,0.6960230245944532,0.629926752703174,0.6784094872689223
Baseline,KNN,0.9,57,0.7194058688564184,0.6594000697593303,0.7001220788280432
Baseline,KNN,0.95,63,0.7077144467254357,0.6446634112312521,0.684949424485525
Baseline,DecisionTree,0.8,46,0.7396449704142012,0.6757935123822811,0.6757935123822811
Baseline,DecisionTree,0.85,50,0.7177612597193017,0.6528601325427276,0.6528601325427277
Baseline,DecisionTree,0.9,57,0.7143480558350207,0.6553017091035926,0.6553017091035926
Baseline,DecisionTree,0.95,63,0.6873958217188086,0.6127485176142309,0.6127485176142309
Baseline,NaiveBayes,0.8,46,0.4375136277765294,0.603331008022323,0.6756191140565051
Baseline,NaiveBayes,0.85,50,0.46880707137117394,0.6197244506452738,0.6780606906173701
Baseline,NaiveBayes,0.9,57,0.504246432300731,0.6230380188350192,0.6883501918381585
Baseline,NaiveBayes,0.95,63,0.5231604682258031,0.641873038018835,0.6953261248692012
