ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.coef_min,ela_meta.lin_w_interact.coef_max,ela_meta.quad_simple.adj_r2,ela_disp.ratio_mean_02,ela_disp.dist_all_mean,ela_ic.h_max,ela_ic.eps_s,ela_ic.eps_ratio,ela_ic.m0,ela_cm.mean_ofs_10,ela_lc.r_pearson_dist_centroid,ela_lc.r_pearson_nn,ela_lc.y_skewness,ela_lc.y_kurtosis,nbc.nn_nb.dist.ratio.mean,nbc.nn_nb.dist.ratio.sd,nbc.nb.fitness.ratio.mean,nbc.nb.fitness.ratio.sd,nbc.n_candidates,nbc.dist.ratio.coeff_var,fdc.r,fdc.p_value,fdc.dist.mean,fdc.slope,gh.mean,gh.norm.mean,gh.norm.sd,gh.angle.mean,ls.mean,ls.min,ls.max,ls.ratio,ls.lml,sample.y_min,sample.y_max,sample.y_mean
-0.2771474,0.44588697,-0.2529987,0.064728454,0.12751302,0.1248058,0.9332838,0.008410984,0.04171198,0.0,-0.0126582105,0.40225798,-0.31817648,0.2105662,-0.8610174,-0.09395991,-0.09743689,-0.07584266,0.3260904,-0.21201508,-0.07380627,0.1612421,0.12625328,0.0,0.11544615,1.0055714,0.05619038,0.52236354,1.720206,0.088514894,0.069332115,-0.08962254,0.20697235,-0.06833083,-0.01628371,0.18597376,0.1819103,0.010842774
-0.2787254,0.23971829,-0.2529987,0.07314978,0.12751302,0.1248058,1.1232498,0.008410984,0.031687815,0.0,-0.0065985243,0.40225798,-0.33407968,0.20553102,-0.65533733,-0.085231595,-0.06359091,-0.07107497,0.29707727,-0.19436423,-0.07380627,0.16599646,0.13263655,0.0,0.14502816,0.86467224,0.037166968,0.52236354,1.5942531,0.07314872,0.049999356,0.24396114,0.06767827,0.027866451,0.030165214,0.19393036,0.20474422,0.017285947
-0.16100135,0.07203684,0.31171963,-0.004896071,0.015583925,-0.03462365,0.21085785,-0.027166728,-0.018854547,0.0,-0.037548956,0.04829275,0.10702163,0.0019187387,-0.9816627,-0.2064814,-0.14612718,-0.31832716,-0.08942011,0.14650585,-0.106917,0.1372655,-0.3113828,0.0,-0.05311232,-1.2098815,-0.051167455,-0.4965186,-1.1919969,-0.03152583,-0.30010086,-0.24379075,-0.35166058,-0.0509781,-0.04601784,0.0048236065,0.04901337,-0.047647554
0.3393833,0.7666869,0.3299785,0.029869812,0.01966568,0.04324823,-0.31171927,0.098741435,0.08363068,0.0,-0.0065985243,0.37424165,-0.31486437,0.23117727,0.63357985,-0.10515888,-0.078190714,-0.20522118,0.16469988,-0.22839688,-0.048414595,0.14843506,-0.2032935,0.0,0.2521614,-1.411726,0.032240797,0.47569922,1.1439196,0.13979894,0.12329431,0.5449879,0.25128266,0.03959679,0.07952586,0.34646356,0.10465995,0.1782923
0.38924086,0.86273915,0.37334916,-0.10109163,-0.08815815,0.13761659,-0.3282274,0.10523748,0.08363068,0.0,-0.0062782206,0.28156275,-0.2747791,-0.2142874,1.8218355,0.34144202,-0.034253873,-0.07452953,0.21455361,-0.17236418,0.17457965,0.23358211,0.057185076,0.0,0.12712981,0.33223152,-0.06505378,0.35251385,0.30370653,-0.13599145,0.12991422,0.1472927,0.26876357,0.04981093,-0.02288467,0.24481681,0.2872321,0.41975245
0.19460528,0.1676224,0.4325798,-0.052962475,0.04012842,0.45382324,0.35487735,0.10163562,0.06461598,0.0,-0.011824183,0.17964204,0.086056076,-0.20147252,1.861283,0.17984542,-0.051869486,-0.06974453,0.29827264,-0.15869156,-0.053465016,-0.108329244,0.030164573,0.0,0.18335083,0.6635259,-0.2886173,-0.06853157,-0.3093869,-0.10181939,-0.39072224,-0.07817078,-0.15347396,-0.004844685,0.044213936,-0.17442378,0.28524858,0.38078317
0.26602945,0.94191945,0.33524153,-0.03433651,-0.072347134,0.4113122,-0.38104218,0.09832296,0.16539533,0.0,-0.011824183,0.16615011,-0.19751973,-0.19179302,2.213335,0.37250915,-0.06071778,-0.07010551,0.2528603,0.18096739,0.1313228,-0.13982612,-0.23543358,0.0,0.07535064,0.6594917,-0.011173613,-0.09967776,-0.81355405,-0.08608248,-0.20231703,-0.0599991,-0.2787484,-0.0059581166,-0.005882617,0.2726612,0.17714009,0.34388635
0.10086742,0.13496396,0.11859822,-0.10555619,-0.072347134,-0.48590395,-0.66079104,-0.15634696,-0.0541808,0.0,-0.011824183,0.11445892,0.037418805,-0.1454986,1.5977296,0.36561942,-0.06317703,-0.090804785,0.07222975,-0.16440836,-0.042020887,-0.36002234,-0.24247518,0.0,0.15294081,-0.7253487,-0.18782558,-0.24977137,-1.1657076,-0.24408561,-0.6580628,-0.10136572,-0.26535478,-0.09018388,-0.05994928,-0.27079526,0.05042173,0.15720077
-0.035234444,0.24123988,0.24309853,-0.06308679,0.01966568,0.23905635,-0.67991483,-0.02156945,-0.0541808,0.0,-0.037548956,0.08075866,0.3175952,-0.3639095,-1.1955769,-0.25916836,-0.14439082,-0.32161704,0.090350844,-0.12899128,-0.08463313,0.17174229,-0.23644006,0.0,0.1318205,-1.9088602,-0.115245536,-0.22096834,-0.687402,0.08074772,0.10234262,-0.2393901,-0.31237057,-0.07443994,-0.06271383,-0.07675545,0.18806827,-0.04153664
0.22489926,0.3524574,0.36040178,-0.040098,-0.10363841,-0.32075766,0.30040768,0.10163562,-0.024843907,0.0,-0.011824183,0.15972014,0.44540045,-0.21252236,2.0991986,0.41655475,-0.06635316,-0.06974453,0.26502827,-0.13693881,-0.03780918,-0.3404798,-0.22320762,0.0,0.066730596,0.6812379,-0.06372687,-0.11162144,-0.7698482,-0.10181939,0.20438068,-0.07817078,-0.15639773,-0.06543853,0.008443851,-0.24205726,0.072853684,0.3674809
