pair,avg_rank
DecisionTree_0.8,25.6
DecisionTree_0.85,26.4
DecisionTree_0.9,26.1
DecisionTree_0.95,27.9
KNN_0.85,22.0
KNN_0.9,21.0
LogisticRegression_0.8,13.75
LogisticRegression_0.85,8.6
LogisticRegression_0.9,10.0
LogisticRegression_0.95,5.1
NaiveBayes_0.85,23.0
NaiveBayes_0.9,24.0
RandomForest_0.8,12.8
RandomForest_0.85,7.1
RandomForest_0.9,12.5
RandomForest_0.95,8.3
SVM_Linear_0.8,5.2
SVM_Linear_0.85,18.45
SVM_Linear_0.9,18.0
SVM_Linear_0.95,10.9
SVM_RBF_0.8,17.8
SVM_RBF_0.85,13.0
SVM_RBF_0.9,16.75
SVM_RBF_0.95,17.05
XGBoost_0.8,2.3
XGBoost_0.85,4.1
XGBoost_0.9,7.3
XGBoost_0.95,1.0
