,Baseline,ELA_Meta-dataset,Combined
DecisionTree_0.85_seed0,0.6168468782699686,0.5726369026857342,0.5963550749912802
DecisionTree_0.85_seed1,0.646320195326125,0.5709801185908616,0.6094349494244855
DecisionTree_0.85_seed2,0.684775026159749,0.5497035228461807,0.6118765259853506
DecisionTree_0.85_seed3,0.6569584931984653,0.586501569584932,0.5758632717125916
DecisionTree_0.85_seed4,0.6315835367980467,0.5603418207185211,0.6110917335193582
DecisionTree_0.85_seed42,0.646320195326125,0.5996686431810254,0.622514823857691
DecisionTree_0.85_seed5,0.6528601325427277,0.5791768399023369,0.586501569584932
DecisionTree_0.85_seed51,0.646320195326125,0.5619986048133937,0.6159748866410882
DecisionTree_0.85_seed6,0.6512033484478549,0.5619986048133937,0.6135333100802233
DecisionTree_0.85_seed7,0.6397802581095222,0.5963550749912802,0.6012382281130101
DecisionTree_0.8_seed0,0.6487617718869899,0.6013254272758981,0.663498430415068
DecisionTree_0.8_seed1,0.663498430415068,0.5931287059644228,0.622602023020579
DecisionTree_0.8_seed2,0.6545169166376003,0.5972270666201605,0.6103069410533658
DecisionTree_0.8_seed3,0.6422218346703872,0.6160620858039763,0.6373386815486571
DecisionTree_0.8_seed4,0.7011684687826998,0.6127485176142309,0.6037670038367632
DecisionTree_0.8_seed42,0.6512033484478549,0.5849319846529473,0.6659400069759331
DecisionTree_0.8_seed5,0.6757935123822811,0.6381234740146495,0.607865364492501
DecisionTree_0.8_seed51,0.6282699686083014,0.6332403208929194,0.6110917335193582
DecisionTree_0.8_seed6,0.6642832228810603,0.553017091035926,0.6144053017091036
DecisionTree_0.8_seed7,0.627485176142309,0.5726369026857342,0.6192884548308336
DecisionTree_0.95_seed0,0.5799616323683292,0.5152598535054064,0.629926752703174
DecisionTree_0.95_seed1,0.6569584931984653,0.5374084408789676,0.6217300313916987
DecisionTree_0.95_seed2,0.627485176142309,0.5644401813742588,0.6135333100802233
DecisionTree_0.95_seed3,0.6422218346703872,0.5021799790722009,0.620073247296826
DecisionTree_0.95_seed4,0.6397802581095222,0.5087199162888035,0.6217300313916987
DecisionTree_0.95_seed42,0.6438786187652599,0.5054935472619463,0.620073247296826
DecisionTree_0.95_seed5,0.6127485176142309,0.5521450994070456,0.6069933728636205
DecisionTree_0.95_seed51,0.6217300313916987,0.5128182769445413,0.5898151377746773
DecisionTree_0.95_seed6,0.6569584931984653,0.5398500174398326,0.6086501569584931
DecisionTree_0.95_seed7,0.6250435995814441,0.4915416811998605,0.6233868154865714
DecisionTree_0.9_seed0,0.6258283920474363,0.5709801185908616,0.6282699686083014
DecisionTree_0.9_seed1,0.6577432856644576,0.5980118590861527,0.6045517963027555
DecisionTree_0.9_seed2,0.6127485176142309,0.576735263341472,0.5799616323683292
DecisionTree_0.9_seed3,0.6504185559818627,0.6069933728636205,0.5905999302406697
DecisionTree_0.9_seed4,0.6315835367980467,0.5308685036623648,0.6233868154865714
DecisionTree_0.9_seed42,0.627485176142309,0.5586850366236484,0.6012382281130101
DecisionTree_0.9_seed5,0.6553017091035926,0.5963550749912802,0.581618416463202
DecisionTree_0.9_seed51,0.629926752703174,0.6127485176142309,0.6118765259853506
DecisionTree_0.9_seed6,0.6250435995814441,0.5750784792465993,0.550488315312173
DecisionTree_0.9_seed7,0.5857167771189397,0.5922567143355424,0.5775200558074642
KNN_0.85_seed0,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed1,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed2,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed3,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed4,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed42,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed5,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed51,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed6,0.6784094872689223,0.6633240320892919,0.6790198814091385
KNN_0.85_seed7,0.6784094872689223,0.6633240320892919,0.6790198814091385
